Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,2009,Personnel salaries at school level - instructional staff only,2289572.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,2009,Non-personnel expenditures at school level,332502.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,2009,Personnel salaries at school level - teachers only,2051418.00,22.20,,,,,,,,,,,
GA,ATLANTA CITY,GA,CAPITOL VIEW ELEMENTARY SCHOOL,130012000084,2009,Total enrollment,,,5.00,0.00,0.00,0.00,270.00,0.00,0.00,275.00,15.00,0.00,0.00
GA,ATLANTA CITY,GA,M. A. JONES ELEMENTARY SCHOOL,130012000085,2009,Personnel salaries at school level - total,4670525.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,M. A. JONES ELEMENTARY SCHOOL,130012000085,2009,Personnel salaries at school level - instructional staff only,4163312.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,M. A. JONES ELEMENTARY SCHOOL,130012000085,2009,Non-personnel expenditures at school level,507088.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,M. A. JONES ELEMENTARY SCHOOL,130012000085,2009,Personnel salaries at school level - teachers only,3423251.00,38.20,,,,,,,,,,,
GA,ATLANTA CITY,GA,M. A. JONES ELEMENTARY SCHOOL,130012000085,2009,Total enrollment,,,0.00,0.00,0.00,10.00,520.00,5.00,5.00,535.00,50.00,0.00,0.00
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2009,Personnel salaries at school level - total,13130532.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2009,Personnel salaries at school level - instructional staff only,11906997.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2009,Non-personnel expenditures at school level,1223477.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2009,Personnel salaries at school level - teachers only,10044108.00,107.00,,,,,,,,,,,
GA,ATLANTA CITY,GA,DOUGLASS HIGH SCHOOL,130012000089,2009,Total enrollment,,,5.00,0.00,0.00,5.00,1335.00,0.00,5.00,1350.00,150.00,0.00,5.00
GA,ATLANTA CITY,GA,COOK ELEMENTARY SCHOOL,130012000090,2009,Personnel salaries at school level - total,4276536.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,COOK ELEMENTARY SCHOOL,130012000090,2009,Personnel salaries at school level - instructional staff only,3593597.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,COOK ELEMENTARY SCHOOL,130012000090,2009,Non-personnel expenditures at school level,682918.00,,,,,,,,,,,,
